"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-107.5","42.306999206543","2016","-19.574","-29.95","0","4.58113765338402","0.733230427055843","9.80111286",
"1/2/1979","-107.5","42.306999206543","2016","-12.567","-24.037","0.1270294128","7.26058209322213","0.815037279962771","8.38917945",
"1/3/1979","-107.5","42.306999206543","2016","-8.35599999999999","-17.239","0.6574632984","4.51295595067945","0.894985730828743","8.54808597",
"1/4/1979","-107.5","42.306999206543","2016","-8.77100000000002","-18.023","6.2776548","3.45586982251516","0.909140549617224","4.11575139",
"1/5/1979","-107.5","42.306999206543","2016","-10.898","-22.564","1.45654704","2.21711886041012","0.853813282862563","9.84330045",
"1/6/1979","-107.5","42.306999206543","2016","-11.115","-26.521","0","2.58590670654948","0.836886456741129","10.02959928",
"1/7/1979","-107.5","42.306999206543","2016","-15.048","-28.099","0","3.60318001496498","0.795811749468092","10.34055045",
"1/8/1979","-107.5","42.306999206543","2016","-11.078","-20.444","0","5.71886602037709","0.841767362596669","10.27114173",
"1/9/1979","-107.5","42.306999206543","2016","-6.37099999999998","-15.799","0.4463201952","4.63200854590083","0.927872722636146","8.22858489",
"1/10/1979","-107.5","42.306999206543","2016","-4.464","-10.685","1.469421792","6.51669113960848","0.953961398003656","6.39798597",
"1/11/1979","-107.5","42.306999206543","2016","0.466000000000008","-5.27800000000002","11.202615","7.37812084731786","0.974111726116726","2.27829402",
"1/12/1979","-107.5","42.306999206543","2016","0.755999999999972","-21.095","5.275156428","4.94386676063498","0.942589973843615","5.71145526",
"1/13/1979","-107.5","42.306999206543","2016","-9.36399999999998","-22.01","0.1407623328","3.36103656015618","0.877377807174562","10.38796929",
"1/14/1979","-107.5","42.306999206543","2016","-6.42599999999999","-15.453","0.4119875136","7.04919784746435","0.920016929274124","7.96438125",
"1/15/1979","-107.5","42.306999206543","2016","-4.77699999999999","-7.75299999999999","1.4831551728","7.72955614133495","0.947219984142999","7.46285301",
"1/16/1979","-107.5","42.306999206543","2016","-3.20699999999999","-10.748","0.054931644","7.7744792152708","0.927425669249541","9.14754186",
"1/17/1979","-107.5","42.306999206543","2016","-2.03100000000001","-11.676","0.2489091264","4.84810319790815","0.948545029393471","7.40902554",
"1/18/1979","-107.5","42.306999206543","2016","-0.396000000000015","-9.18200000000002","1.0385509536","3.74312770233524","0.960923301687168","5.96390301",
"1/19/1979","-107.5","42.306999206543","2016","-5.774","-11.911","0.188827848","4.13282397400232","0.93298263275711","9.7007049",
"1/20/1979","-107.5","42.306999206543","2016","-5.33199999999999","-13.514","0","4.65109837669611","0.920190509480513","10.70420481",
"1/21/1979","-107.5","42.306999206543","2016","-3.83699999999999","-9.79700000000003","0.3149984952","7.45095562580777","0.938106919251977","8.36240544",
"1/22/1979","-107.5","42.306999206543","2016","-5.221","-19.487","3.441807216","5.43113349918642","0.885605926739297","6.27423741",
"1/23/1979","-107.5","42.306999206543","2016","-9.96300000000002","-18.436","0.0274658112","5.52049721199062","0.874804138710025","11.04817662",
"1/24/1979","-107.5","42.306999206543","2016","-6.38299999999998","-14.002","1.4745711528","7.66399730125937","0.91669427513221","10.725749208",
"1/25/1979","-107.5","42.306999206543","2016","-7.56999999999999","-14.924","5.75666352","4.38037233215511","0.926807528017625","7.11534033",
"1/26/1979","-107.5","42.306999206543","2016","-12.395","-27.885","2.5526047176","4.17713381606209","0.865116272853551","9.148894812",
"1/27/1979","-107.5","42.306999206543","2016","-12.197","-21.08","0.8771899248","4.32428308214153","0.866024863583065","10.33796349",
"1/28/1979","-107.5","42.306999206543","2016","-12.042","-18.03","1.601600724","2.53825730351775","0.881763446128878","10.141868682",
"1/29/1979","-107.5","42.306999206543","2016","-17.136","-22.041","2.232456336","3.93328214361459","0.82914430173856","7.664233428",
