Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
1/1/1979,-61.875,-13.5819997787476,195,24.339,21.397,4.2400346328,0.790283213132797,0.976899192029895,5.52971484
1/2/1979,-61.875,-13.5819997787476,195,29.195,21.963,11.057565096,0.824908697312688,0.936549282935486,18.0628281
1/3/1979,-61.875,-13.5819997787476,195,25.343,21.513,5.6064663,1.09295904372248,0.956810701256903,13.5859545
1/4/1979,-61.875,-13.5819997787476,195,29.737,20.579,2.6899374528,1.23694506246753,0.839306710291509,25.4589705
1/5/1979,-61.875,-13.5819997787476,195,27.492,21.326,9.6259118904,0.99186794861536,0.947170524102573,18.53269362
1/6/1979,-61.875,-13.5819997787476,195,28.722,20.536,9.233664516,1.02019160223003,0.927169812474371,17.77206798
1/7/1979,-61.875,-13.5819997787476,195,27.852,20.384,16.95670938,0.792629152698687,0.9513947631445,28.0991808
1/8/1979,-61.875,-13.5819997787476,195,27.173,21.758,21.3752754,1.05407868460125,0.952659638048371,14.69514258
1/9/1979,-61.875,-13.5819997787476,195,26.372,21.512,23.87295288,0.57076180535628,0.967644147584045,17.6021973
1/10/1979,-61.875,-13.5819997787476,195,22.97,21.749,21.3701253264,1.69672509849366,0.980816653471093,1.561162752
1/11/1979,-61.875,-13.5819997787476,195,26.665,21.549,6.64501536,1.23760294562905,0.952492321166062,13.393121148
1/12/1979,-61.875,-13.5819997787476,195,28.569,22.086,4.155065748,1.81119984705349,0.907695272393845,21.12907734
1/13/1979,-61.875,-13.5819997787476,195,30.342,21.645,7.489588428,1.61926730842418,0.889334565537024,30.026025
1/14/1979,-61.875,-13.5819997787476,195,30.266,22.805,4.0924046376,1.47121188196283,0.896615110446111,17.90330562
1/15/1979,-61.875,-13.5819997787476,195,28.894,22.45,2.97146286,1.23738448719795,0.900984950986629,13.74874002
1/16/1979,-61.875,-13.5819997787476,195,29.455,21.322,0.0274658328,1.56978049453527,0.820411654584861,23.6568897
1/17/1979,-61.875,-13.5819997787476,195,27.815,20.465,10.047335112,1.23918873779732,0.946047398977828,22.7862549
1/18/1979,-61.875,-13.5819997787476,195,28.796,22.352,15.379139376,0.771768876249414,0.950063342343646,14.4169263
1/19/1979,-61.875,-13.5819997787476,195,25.7,22.792,45.4482036,1.12406005182196,0.974626599853668,13.147037352
1/20/1979,-61.875,-13.5819997787476,195,25.624,22.476,61.058241,1.30204561591453,0.971681145508037,15.5008665
1/21/1979,-61.875,-13.5819997787476,195,27.181,21.931,12.3270045048,0.958738570270306,0.951698223748713,20.8160442
1/22/1979,-61.875,-13.5819997787476,195,27.255,22.817,12.2291620272,1.08473762573114,0.960252522995921,19.68936048
1/23/1979,-61.875,-13.5819997787476,195,29.457,22.847,5.139542448,1.54434984545774,0.913884784044356,20.630021688
1/24/1979,-61.875,-13.5819997787476,195,31.384,22.192,3.5868649464,1.62451289956505,0.876378329637254,19.83638952
1/25/1979,-61.875,-13.5819997787476,195,29.285,21.641,11.08331928,0.997858345709086,0.936821593163369,16.051330944
1/26/1979,-61.875,-13.5819997787476,195,30.803,21.585,7.1256627792,0.952317426526307,0.90214573419503,20.57787864
1/27/1979,-61.875,-13.5819997787476,195,26.519,22.248,14.635845576,1.51476167727092,0.937848924025206,10.717199568
1/28/1979,-61.875,-13.5819997787476,195,25.796,20.237,6.7909238064,1.25100333335143,0.950435429267325,10.29093966
1/29/1979,-61.875,-13.5819997787476,195,26.185,19.333,9.30319038,0.828783142592477,0.954363643291669,12.85689654
1/30/1979,-61.875,-13.5819997787476,195,26.229,22.052,21.91258512,1.1176616711179,0.969150949957216,17.24264964
1/31/1979,-61.875,-13.5819997787476,195,25.861,21.494,21.3323526,0.821879450246969,0.972446510282552,13.185787608
2/1/1979,-61.875,-13.5819997787476,195,29.236,22.086,12.076374312,1.06242779366037,0.900198102334197,16.4507022
2/2/1979,-61.875,-13.5819997787476,195,28.754,22.706,12.6960786,1.47771967188882,0.936274330920009,19.42464132
2/3/1979,-61.875,-13.5819997787476,195,26.444,22.872,14.1174283464,1.1881624307733,0.968006213300767,13.841888832
2/4/1979,-61.875,-13.5819997787476,195,27.589,22.458,5.2253736048,1.66841594308492,0.928506591848151,16.586044668
2/5/1979,-61.875,-13.5819997787476,195,25.592,22.202,15.06586428,1.45324696942093,0.969052166230932,15.926180688
2/6/1979,-61.875,-13.5819997787476,195,27.806,22.128,4.7009480904,1.53143558789883,0.933459726227718,18.46085373
2/7/1979,-61.875,-13.5819997787476,195,27.637,22.018,7.505035524,1.51683549521887,0.942662048469899,25.1512857
2/8/1979,-61.875,-13.5819997787476,195,26.306,22.069,16.7352698664,1.52739183938016,0.96131893904254,25.05392226
2/9/1979,-61.875,-13.5819997787476,195,25.908,21.675,4.7773412928,1.19923050237348,0.958041974247768,8.905271328
2/10/1979,-61.875,-13.5819997787476,195,27.095,22.354,5.888843424,1.14335113905177,0.95405075753635,14.420252592
2/11/1979,-61.875,-13.5819997787476,195,29.189,22.668,1.8093111408,1.78036188624613,0.881260758383531,19.95193656
2/12/1979,-61.875,-13.5819997787476,195,29.596,22.171,4.138752492,2.07630551897247,0.890052780130422,24.526127952
2/13/1979,-61.875,-13.5819997787476,195,27.912,21.537,11.0901809592,1.52116494021759,0.943079790075154,15.448164696
2/14/1979,-61.875,-13.5819997787476,195,26.844,22.419,9.1916084664,1.4445198966011,0.955401554795561,19.846294632
2/15/1979,-61.875,-13.5819997787476,195,30.858,21.607,4.8271157064,1.88479638601519,0.873561182124106,26.7211665
