Month_Name,Feature,count,mean,min,25%,50%,75%,max,std,variance,skewness,kurtosis
July,Relative Humidity,1116.0,0.4513575268817205,0.2,0.385,0.454,0.519,0.743,0.09669720826783464,0.009350350086792988,0.0113717074688612,-0.3314259095532326
July,Solar(W/m²),1116.0,22.707956989247315,7.75,22.68775,23.137500000000003,23.6985,25.001,2.2202141956085217,4.929351074381595,-3.7778849741783,16.180474465814672
June,Min Temperature(°C),1080.0,8.350757407407407,3.01,6.728,8.195,9.77825,18.067,2.3433103349129145,5.491103325709675,0.5618799463644099,0.5748197544720814
June,Max Temperature(°C),1080.0,25.674369444444444,14.603,24.39975,25.719,27.0125,31.592,2.139122506294086,4.575845096933892,-0.37773984301066416,1.276782045359809
June,Average Temperature(°C),1080.0,17.01256851851852,9.753,15.77775,16.91,18.17575,23.954,1.869551718043874,3.495223626440801,0.25652198347241884,0.6759538246661818
June,Precipitation(mm),1080.0,0.004309259259259259,0.0,0.0,0.0,0.0,0.385,0.030280167019729836,0.0009168885147427345,8.523225301993548,79.74859850649014
June,Wind(km/h),1080.0,2.8595694444444444,1.137,2.4747500000000002,2.83,3.21,5.104,0.5991916943298758,0.3590306865539074,0.3077469141258275,0.3580308895625519
June,Relative Humidity,1080.0,0.5225694444444444,0.258,0.454,0.522,0.594,0.842,0.10136054437109857,0.01027395995520544,-0.03824569884793719,-0.2201053034023026
June,Solar(W/m²),1080.0,21.738234259259258,8.24,22.07675,22.3535,22.62625,23.687,2.2232738944541377,4.942946809761269,-3.3834032559689105,11.700751976011567
March,Min Temperature(°C),1116.0,15.54313172043011,8.673,14.586500000000001,15.661999999999999,16.651,19.627,1.548877209895514,2.399020611333712,-0.5114169307578481,0.3286988820967536
March,Max Temperature(°C),1116.0,26.56798835125448,17.653,24.613500000000002,26.7935,28.62,34.778,2.980251839788667,8.881901028563734,-0.27103011404533917,-0.11857233597470973
March,Average Temperature(°C),1116.0,21.05556810035842,15.567,19.972749999999998,21.04,22.12475,25.965,1.6016576631095798,2.56530726979764,-0.0843067847671246,0.11634379782742732
March,Precipitation(mm),1116.0,7.652424731182795,0.0,1.3485,4.385,9.84875,101.263,11.316784600172701,128.06961368670602,4.074345529200798,21.828347208519464
March,Wind(km/h),1116.0,1.9522840501792114,0.649,1.533,1.9075,2.34325,4.065,0.5654579801496148,0.3197427273148822,0.42414593974864107,-0.136575999640002
March,Relative Humidity,1116.0,0.8302813620071685,0.484,0.781,0.8505,0.901,0.973,0.09560537187906493,0.009140387132134298,-1.0183070460072234,0.8293572297491054
March,Solar(W/m²),1116.0,20.260901433691757,1.222,16.4845,20.744500000000002,25.561500000000002,30.99,6.509201728877866,42.3697071472266,-0.5404671941917509,-0.35120403441375636
May,Min Temperature(°C),1115.0,11.25611928251121,5.248,9.627,11.144,12.7655,19.064,2.3063821131043345,5.319398451647615,0.29186919048835597,-0.04596154551396614
May,Max Temperature(°C),1115.0,26.866788340807176,12.32,25.264,26.862,28.4105,34.747,2.33855498817507,5.468839432718503,-0.15276414620325815,1.9517914290794787
May,Average Temperature(°C),1115.0,19.061447533632286,12.021,17.753999999999998,18.926,20.326999999999998,24.921,1.833090753526654,3.360221710664917,0.17287761862822631,0.0310551121627336
May,Precipitation(mm),1115.0,0.07178475336322869,0.0,0.0,0.0,0.0,8.15,0.536025032191005,0.28732283513536794,12.114867608630894,163.98270389912662
May,Wind(km/h),1115.0,2.685486995515695,1.227,2.3365,2.684,3.0095,5.474,0.5353090422377227,0.2865557707014679,0.2792865670471703,0.7440457114614651
May,Relative Humidity,1115.0,0.5885417040358744,0.246,0.505,0.595,0.674,0.926,0.1164893828264051,0.013569776311276763,-0.183248425862311,-0.28179222520536173
May,Solar(W/m²),1115.0,22.061982959641256,0.0,22.03,23.281,24.214,25.869,3.6110433192347338,13.039633853389802,-2.1587392482766132,5.191113578138315
November,Min Temperature(°C),1050.0,15.936772380952382,10.741,14.8455,16.018,17.0515,22.401,1.685182411592963,2.839839760342275,-0.05128011800497101,0.3004767823417649
November,Max Temperature(°C),1050.0,30.332725714285715,18.053,28.03325,30.8795,33.115,41.638,3.879306822276258,15.049021421359116,-0.5364553518075373,0.27878789754139444
November,Average Temperature(°C),1050.0,23.13475142857143,15.46,21.7555,23.1615,24.6575,29.703,2.2113684465095744,4.890150406218169,-0.14627554278096747,0.031163701667203725
November,Precipitation(mm),1050.0,6.093277142857143,0.0,0.096,2.0235000000000003,8.05025,88.804,10.380993600967496,107.7650281433281,3.421323009239306,15.734448985296428
November,Wind(km/h),1050.0,2.0987533333333332,0.651,1.6945,2.0345,2.421,4.085,0.5750348562513721,0.33066508590403615,0.5132400962928607,0.15306391191082547
November,Relative Humidity,1050.0,0.6602219047619047,0.245,0.528,0.666,0.811,0.97,0.17738044966658095,0.03146382392391846,-0.23518837962431557,-0.8996660118849462
November,Solar(W/m²),1050.0,21.17713238095238,1.679,17.854499999999998,21.2605,25.301,32.396,5.978533379315302,35.74286136758725,-0.43658572598271855,0.12270032248466567
October,Min Temperature(°C),1085.0,16.60410599078341,9.573,15.335,16.663,17.904,22.817,1.9866133142002758,3.946632460157804,-0.14976034199222849,0.22352325064268008
October,Max Temperature(°C),1085.0,33.91429124423963,20.039,32.547,34.052,35.409,43.217,2.829118687822213,8.00391254978488,-0.3401565701847347,2.0607922890304673
October,Average Temperature(°C),1085.0,25.259188940092162,17.358,24.114,25.26,26.46,30.528,1.8178164058799837,3.304456485486422,-0.2654078511071017,0.6328175472279702
October,Precipitation(mm),1085.0,0.9514036866359449,0.0,0.0,0.0,0.306,44.55,3.1004336393504865,9.612688752016103,7.196182073805798,75.97192683076723
October,Wind(km/h),1085.0,2.602247004608295,1.099,2.054,2.543,3.116,5.605,0.7135598130704391,0.5091676068291201,0.42410923063457256,-0.1479663327159355
October,Relative Humidity,1085.0,0.4137852534562212,0.14,0.292,0.39,0.506,0.905,0.15419860966121973,0.023777211221453206,0.7674011764675315,0.16055762215805025
October,Solar(W/m²),1085.0,24.7859400921659,7.014,20.51,25.197,30.356,32.239,5.5165009323008025,30.431782536075623,-0.4486630238871674,-0.729087485461883
September,Min Temperature(°C),1050.0,15.43512380952381,6.744,13.88625,15.4485,17.10925,22.75,2.47723524468062,6.136694457487851,-0.10994907379067836,0.09192404393422215
September,Max Temperature(°C),1050.0,33.16007142857143,24.234,31.846,33.1225,34.4325,43.356,2.2659214309023916,5.134399931022742,0.1316482887897756,1.553144196986806
September,Average Temperature(°C),1050.0,24.297597142857143,17.591,23.109250000000003,24.318,25.5625,30.104,1.9513214233018181,3.807655297036633,-0.09401127786696595,0.22725476832286162
September,Precipitation(mm),1050.0,0.2534038095238095,0.0,0.0,0.0,0.0,96.767,3.4754308164798764,12.078619360137981,23.919078579081052,619.1552509916397
September,Wind(km/h),1050.0,3.1635666666666666,1.285,2.69575,3.208,3.63725,5.659,0.713290095659275,0.5087827605656178,-0.03280683846605884,-0.06305671737370933
September,Relative Humidity,1050.0,0.28351333333333334,0.091,0.219,0.266,0.32575,0.729,0.08964330498710854,0.008035922129011759,1.302707340278855,2.727540824447333
September,Solar(W/m²),1050.0,27.18756476190476,5.419,27.383,28.4895,29.33425,31.156,3.792704212204503,14.384605241273778,-2.1891526030817485,4.7757261463035015
