Year,Feature,count,mean,min,25%,50%,75%,max,std,variance,skewness,kurtosis
1979,Min Temperature(°C),365.0,13.213964383561644,3.471,11.085,14.124,15.965,20.715,3.694962403166761,13.652747160815888,-0.7118725311299121,-0.24855165017991743
1979,Max Temperature(°C),365.0,27.586432876712326,17.798,25.234,27.025,29.607,36.892,3.8775970579691608,15.035758943971091,0.18258975211477016,-0.22237330325534677
1979,Average Temperature(°C),365.0,20.40020821917808,11.172,18.612,20.372,22.45,28.261,3.2648703843882294,10.659378626855345,-0.21557629010741394,0.06156560911153486
1979,Precipitation(mm),365.0,2.662123287671233,0.0,0.0,0.0,3.101,31.143,5.165990528577456,26.687458141351986,2.6373102377150897,8.028198017511707
1979,Wind(km/h),365.0,2.5181780821917807,0.91,1.932,2.44,3.027,5.11,0.805784924513505,0.649289344573235,0.4212431579565883,-0.019500562223819795
1979,Relative Humidity,365.0,0.6159972602739726,0.196,0.402,0.642,0.825,0.97,0.22730485530498593,0.051667497245220594,-0.2783791919241079,-1.2188608265346828
1979,Solar(W/m²),365.0,23.298616438356163,1.963,20.728,23.96,26.838,32.354,5.334774749949246,28.459821632696045,-1.0129543459432424,1.3199846255041678
1980,Min Temperature(°C),366.0,13.553530054644808,4.108,10.843,14.725999999999999,16.37625,22.361,3.9442841061532525,15.557377110053162,-0.6180046340791617,-0.5174682307534617
1980,Max Temperature(°C),366.0,29.27772131147541,18.977,26.485,29.0715,32.11225,40.273,3.6764819990370134,13.516519889243195,0.2152989673269544,-0.3368908047974606
1980,Average Temperature(°C),366.0,21.415617486338796,13.885,19.14825,21.7055,23.837500000000002,29.398,3.355887578099731,11.261981436844076,-0.16480959766181566,-0.5912283187548399
1980,Precipitation(mm),366.0,2.0780136612021853,0.0,0.0,0.0,1.4780000000000002,61.406,5.9641925460065295,35.57159272583985,6.221633321301687,49.772029866056485
1980,Wind(km/h),366.0,2.6770409836065574,1.083,2.12075,2.648,3.15125,5.151,0.7464997268260445,0.557261842151359,0.3388294995270855,-0.10150887194670233
1980,Relative Humidity,366.0,0.5491092896174863,0.199,0.3925,0.534,0.7124999999999999,0.958,0.20040341251855723,0.04016152774908302,0.11433970115719065,-1.0554470957345468
1980,Solar(W/m²),366.0,23.260571038251364,3.392,20.45425,23.5365,26.29025,32.404,4.74935957951045,22.556416415487682,-0.602300758679073,0.6120409601619623
1981,Min Temperature(°C),365.0,13.010663013698627,3.71,9.466,14.337,16.122,21.201,3.9649300014436646,15.720669916348058,-0.4923030726086046,-0.912183651026961
1981,Max Temperature(°C),365.0,28.924416438356165,18.66,25.911,28.438,32.291,39.634,3.93924018538989,15.517613238190576,0.1504014030727331,-0.5140415089881629
1981,Average Temperature(°C),365.0,20.967517808219178,13.391,17.929,21.282,23.614,28.848,3.442469053518818,11.850593184434747,-0.10692693855323673,-0.8286894158867892
1981,Precipitation(mm),365.0,1.9397753424657531,0.0,0.0,0.0,1.329,39.389,4.819572335108828,23.22827749334636,4.041461259248051,20.379113003100585
1981,Wind(km/h),365.0,2.5778904109589043,0.949,2.02,2.603,3.06,5.426,0.7486287530780998,0.5604450099352706,0.36238657889346915,0.3260141739711018
1981,Relative Humidity,365.0,0.5613643835616438,0.192,0.386,0.556,0.733,0.964,0.2077812970632896,0.043173067409303,0.06652472635794643,-1.0807307415614409
1981,Solar(W/m²),365.0,23.000827397260274,3.448,20.454,23.306,26.169,31.915,5.137800474923725,26.39699372012645,-0.962766140428322,1.598406150562162
1982,Min Temperature(°C),365.0,13.527476712328767,4.942,10.906,14.586,15.965,21.485,3.38943693784639,11.488282755637513,-0.600185625074564,-0.4428607743766051
1982,Max Temperature(°C),365.0,27.02608493150685,17.608,24.788,26.713,28.867,35.954,3.4274305422411855,11.747280121887707,0.15742979641449448,-0.05425628733547949
1982,Average Temperature(°C),365.0,20.27679726027397,11.943,18.233,20.535,21.859,28.556,2.7798874152025044,7.727774041201261,-0.01868725576859145,-0.05289453222948648
1982,Precipitation(mm),365.0,4.294301369863013,0.0,0.0,0.096,6.206,92.172,9.091279785882211,82.65136814519049,5.149651133764373,38.7444934117317
1982,Wind(km/h),365.0,2.552632876712329,0.694,1.875,2.636,3.099,5.046,0.8373882618677875,0.7012191011139541,0.08777216714478143,-0.43398599342575706
1982,Relative Humidity,365.0,0.6535424657534247,0.17,0.45,0.692,0.854,0.966,0.21843479545972003,0.04771375986752973,-0.3633849615691678,-1.178404652776352
1982,Solar(W/m²),365.0,21.987887671232876,1.84,19.172,23.136,25.828,31.587,5.798354887094118,33.620919396688244,-0.9691320031652562,0.7260237783142189
1983,Min Temperature(°C),365.0,13.676243835616438,4.905,11.339,14.423,16.193,22.401,3.2475336293712695,10.546474673897329,-0.5315317654500827,-0.4945443662416067
1983,Max Temperature(°C),365.0,28.201964383561645,17.962,26.118,27.828,30.056,42.341,3.4023012027159973,11.575653474002722,0.4980833081019971,1.2533015945255888
1983,Average Temperature(°C),365.0,20.939109589041095,15.161,19.224,20.934,22.282,30.172,2.539483633599532,6.4489771253198835,0.4006414079227625,0.1979063369531051
1983,Precipitation(mm),365.0,4.477876712328768,0.0,0.0,0.0,3.559,98.702,11.820214204685529,139.71746384464956,5.045442847995892,30.631780312184322
1983,Wind(km/h),365.0,2.529071232876712,0.709,1.889,2.548,3.094,5.101,0.8256053658901827,0.6816242201866626,0.23720726200891645,-0.3951634133694246
1983,Relative Humidity,365.0,0.6077945205479452,0.163,0.419,0.6,0.812,0.967,0.22280099772056172,0.04964028458527775,-0.13335104048176857,-1.2158424675283823
